SSD capacity:		4GB
Page size:		4KB
Pages / Block:		128 pages
Block size:		512KB
Physical Blocks:	8K (8192)
User Blocks:		8188
LOG Blocks:		3
PPNs:			1M (1048576)
LPNs:			1048064
Total runs:		x10
Actual capacity:	4292870144 Bytes

Workload : 		Multi Hot/Cold
FTL : 			Log block FTL
partial!! 3461 6266 1 128 1
partial!! 601 883 1 127 1
partial!! 2544 1546 1 128 1
partial!! 1495 846 1 119 1
partial!! 4442 83 1 127 1
partial!! 3496 4442 1 120 1
partial!! 2057 2494 1 127 1
partial!! 3050 4573 1 119 1
partial!! 5006 5035 1 127 1
partial!! 2262 412 1 127 1
partial!! 7168 2466 1 24 1
partial!! 6030 5402 1 127 1
partial!! 247 3304 1 128 1
partial!! 2058 3485 1 128 1
partial!! 316 3192 1 128 1
partial!! 986 7500 1 109 1
partial!! 3399 6667 1 127 1
partial!! 66 1349 1 127 1
partial!! 540 863 1 123 1
partial!! 5163 3425 1 123 1
partial!! 5677 2038 1 117 1
partial!! 5090 1174 1 128 1
partial!! 5629 2933 1 109 1
partial!! 974 7073 1 128 1
partial!! 3639 2352 1 124 1
partial!! 6769 2461 1 128 1
